episode,reward,length
705,0.0,29
706,0.0,1
707,0.0,4
708,0.0,31
709,0.0,12
710,0.0,25
711,0.0,10
712,0.0,4
713,0.0,2
714,0.0,5
715,0.0,1
716,0.0,4
717,0.0,6
718,0.0,8
719,0.0,6
720,0.0,9
721,0.0,5
722,0.0,9
723,0.0,2
724,0.0,16
725,0.0,7
726,0.0,10
727,0.0,3
728,0.0,1
729,0.0,6
730,0.0,20
731,0.0,3
732,0.0,16
733,0.0,2
734,0.0,1
735,0.0,1
736,0.0,36
737,0.0,2
738,0.0,12
739,0.0,38
740,0.0,4
741,0.0,15
742,0.0,8
743,0.0,2
744,0.0,27
745,0.0,51
746,0.0,44
747,0.0,1
748,0.0,23
749,0.0,3
750,0.0,14
751,0.0,4
752,0.0,9
753,0.0,25
754,0.0,34
755,0.0,21
756,0.0,7
757,0.0,47
758,0.0,9
759,0.0,50
760,0.0,7
761,0.0,36
762,0.0,6
763,0.0,16
764,0.0,2
765,0.0,89
766,0.0,20
767,0.0,42
768,0.0,3
769,0.0,91
770,0.0,19
771,0.0,12
772,0.0,19
773,0.0,42
774,0.0,8
775,0.0,11
776,0.0,56
777,0.0,11
778,0.704687,84
779,0.0,3
780,0.0,121
781,0.0,30
782,0.0,29
783,0.0,256
784,0.0,39
785,0.0,44
786,0.0,158
787,0.0,6
788,0.0,256
789,0.0,34
790,0.0,2
791,0.0,31
792,0.0,28
793,0.0,32
794,0.0,20
795,0.0,213
796,0.0,14
797,0.0,10
798,0.0,16
799,0.0,17
800,0.0,18
801,0.0,23
802,0.0,32
803,0.0,28
804,0.0,101
805,0.0,48
806,0.0,37
807,0.0,256
808,0.0,48
809,0.0,12
810,0.0,123
811,0.0,30
812,0.0,2
813,0.0,15
814,0.0,14
815,0.810156,54
816,0.0,17
817,0.0,47
818,0.0,9
819,0.0,86
820,0.0,89
821,0.0,174
822,0.0,250
823,0.0,112
824,0.0,50
825,0.0,83
826,0.0,121
827,0.0,179
828,0.0,63
829,0.0,19
830,0.0,1
831,0.0,24
832,0.0,58
833,0.0,59
834,0.0,35
835,0.0,129
836,0.0,52
837,0.0,256
838,0.0,101
839,0.0,42
840,0.0,33
841,0.0,141
842,0.0,48
843,0.0,182
844,0.0,7
845,0.0,193
846,0.0,48
847,0.0,68
848,0.0,192
849,0.0,256
850,0.0,61
851,0.0,96
852,0.0,232
853,0.0,60
854,0.0,19
855,0.0,150
856,0.0,162
857,0.0,21
858,0.0,78
859,0.0,50
860,0.0,51
861,0.0,16
862,0.0,69
863,0.0,16
864,0.0,256
865,0.0,100
866,0.0,73
867,0.0,122
868,0.0,44
869,0.0,59
870,0.0,9
871,0.0,85
872,0.0,27
873,0.996484,1
874,0.0,68
875,0.0,78
876,0.0,4
877,0.0,12
878,0.0,153
879,0.0,28
880,0.950781,14
881,0.0,26
882,0.0,47
883,0.0,25
884,0.0,83
885,0.0,87
886,0.0,27
887,0.0,36
888,0.0,98
889,0.0,51
890,0.0,62
891,0.0,201
892,0.0,199
893,0.0,5
894,0.0,57
895,0.0,72
896,0.0,100
897,0.0,118
898,0.0,55
899,0.0,17
900,0.0,2
901,0.0,176
902,0.0,139
903,0.0,100
904,0.0,1
905,0.0,26
906,0.0,33
907,0.0,28
908,0.0,31
909,0.0,220
910,0.0,204
911,0.0,65
912,0.0,9
913,0.0,111
914,0.0,66
915,0.0,15
916,0.0,37
917,0.0,101
918,0.0,20
919,0.0,77
920,0.0,17
921,0.0,6
922,0.0,2
923,0.0,185
924,0.0,43
925,0.0,135
926,0.985938,4
927,0.0,142
928,0.0,113
929,0.0,60
930,0.0,17
931,0.0,105
932,0.0,235
933,0.0,62
934,0.0,30
935,0.0,124
936,0.0,38
937,0.0,38
938,0.0,152
939,0.0,41
940,0.0,19
941,0.0,225
942,0.0,36
943,0.0,82
944,0.0,64
945,0.0,24
946,0.0,44
947,0.0,127
